Opcode,Micro2,Micro3,Micro4,Micro5,Micro6,Micro7
JCN (jumping),IR3_Out PC2_Bus_Load IR4_Out PC3_Bus_Load,Micro_Reset,,,,
JCN (not jumping),,Micro_Reset PC_INC,,,,
NOP,PC_INC Micro_Reset,,,,,
FIM,IR2_Out IndexReg_Load IR3_Out ScratchPad_Load ScratchPadWord1,IR4_Out ScratchPad_Load ScratchPadWord2,PC_INC Micro_Reset,,,
FIN,IR2_Out IndexReg_Load PC2_Bus_Load Scratch_Out ScratchPadWord1,PC3_Bus_Load Scratch_Out ScratchPadWord2,IR3_Out ScratchPad_Load ScratchPadWord1,IR4_Out ScratchPad_Load ScratchPadWord2,PC_INC Micro_Reset,
JUN,IR2_Out PC1_Bus_Load IR3_Out PC2_Bus_Load IR4_Out PC3_Bus_Load,Micro_Reset,,,,
JIN,IR2_Out IndexReg_Load PC2_Bus_Load Scratch_Out ScratchPadWord1,PC3_Bus_Load Scratch_Out ScratchPadWord2,Micro_Reset,,,
JMS,Shift_Loading,Stack_Load,IR4_Out PC3_Bus_Load IR3_Out PC2_Bus_Load IR2_Out PC1_Bus_Load,Micro_Reset,,
INC,IR2_Out IndexReg_Load Scratch_Reg_Select Scratch_Out Temp_Load,Scratch_Reg_Select INC_Out ScratchPad_Load,PC_INC Micro_Reset,,,
ISZ (ISZ_True),IR2_Out IndexReg_Load Scratch_Reg_Select Scratch_Out Temp_Load,Scratch_Reg_Select INC_Out ScratchPad_Load IR3_Out PC2_Bus_Load IR4_Out PC3_Bus_Load,PC_INC Micro_Reset,,,
ISZ (ISZ_False),IR2_Out IndexReg_Load Scratch_Reg_Select Scratch_Out Temp_Load,Scratch_Reg_Select INC_Out ScratchPad_Load IR3_Out PC2_Bus_Load IR4_Out PC3_Bus_Load,Micro_Reset,,,
ADD,IR2_Out IndexReg_Load Scratch_Reg_Select Scratch_Out Temp_Load,EO_Out Acc_Load,CFStage1_Load,PC_INC Micro_Reset CF_Load,,
SUB,IR2_Out IndexReg_Load Temp_INV Scratch_Reg_Select Scratch_Out Temp_Load,EO_Out Acc_Load,CFStage1_Load,PC_INC Micro_Reset CF_Load Temp_INV,,
XCH,IR2_Out IndexReg_Load Scratch_Reg_Select Scratch_Out Temp_Load,Scratch_Reg_Select Acc_Out ScratchPad_Load,Temp_Out Acc_Load,PC_INC Micro_Reset,,,
LD,IR2_Out IndexReg_Load Scratch_Reg_Select Scratch_Out Acc_Load,PC_INC Micro_Reset,,,,
BBL,IR2_Out Acc_Load,PC_Stack_Load,PC_INC Micro_Reset Shift_Direction Shift_Loading,,,,
LDM,IR2_Out Acc_Load,PC_INC Micro_Reset,,,,
CLB,CF_Clear Acc_Load,PC_INC Micro_Reset,,,,
CLC,CF_Clear,PC_INC Micro_Reset,,,,
IAC,Bus0In Temp_Load,EO_Out Acc_Load,PC_INC Micro_Reset,,,
CMA,Acc_INV,PC_INC Micro_Reset,,,,
CMC,CF_Inv,PC_INC Micro_Reset,,,,
RAL,CFStage1_Load Shift_Enable Shift_Direction Temp_Load,CF_Load Temp_Out Acc_Load,PC_INC Micro_Reset,,,
RAR,CFStage1_Load Shift_Enable Temp_Load,CF_Load Temp_Out Acc_Load,PC_INC Micro_Reset,,,
TCC,CF_Out Acc_Load,CF_Clear,PC_INC Micro_Reset,,,
DAC,Temp_Load Bus0In Subtract_Set,EO_Out Acc_Load,PC_INC Micro_Reset Subtract_Reset,,,
STC,CF_Load Bus0In,PC_INC Micro_Reset,,,,
TCS (CF),Bus3In Bus1In Acc_Load,PC_INC Micro_Reset,,,,
TCS (!CF),Bus3In Bus0In Acc_Load,PC_INC Micro_Reset,,,,
DAA (Acc9 or CF),Temp_Load Bus2In Bus1In,EO_Out Acc_Load,PC_INC Micro_Reset,,,
