idx,t_ms,ir_hex,mnemonic,status,desc,acc_pre,acc_post,cy_pre,cy_post,r0_pre,r1_pre,r2_pre,r3_pre,r4_pre,r5_pre,r6_pre,r7_pre,r8_pre,r9_pre,r10_pre,r11_pre,r12_pre,r13_pre,r14_pre,r15_pre,r0_post,r1_post,r2_post,r3_post,r4_post,r5_post,r6_post,r7_post,r8_post,r9_post,r10_post,r11_post,r12_post,r13_post,r14_post,r15_post
0,4.034,BA,XCH R10,pass,,4,0,0,0,0,0,0,0,15,4,4,7,10,0,0,0,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,0,0,0,0,0
1,4.134,DB,LDM 11,pass,,0,11,0,0,0,0,0,0,15,4,4,7,10,0,4,0,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,0,0,0,0,0
2,4.204,BB,XCH R11,pass,,11,0,0,0,0,0,0,0,15,4,4,7,10,0,4,0,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
3,4.304,50,JMS 0,pass,,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
4,4.484,2C,FIM/SRC C,pass,,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
5,4.644,50,JMS 0,pass,,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
6,4.824,F1,CLC,pass,,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
7,4.894,A6,LD R6,pass,,0,4,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
8,4.974,F5,RAL,pass,,4,8,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
9,5.054,F7,TCC,pass,,8,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
10,5.134,B2,XCH R2,pass,,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
11,5.234,A6,LD R6,pass,,0,4,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0,0,0,0,0,15,4,4,7,10,0,4,11,0,0,0,0
