subsystem,pretty_name,file_count,njf,resistors,files
ALU,Arithmetic logic unit,1,566,504,alu.asc
IR,Instruction register,1,680,642,instruction_register.asc
MI,Micro-instruction decoder,1,877,675,micro_instructions.asc
Cont,Control logic,1,28,24,controls.asc
Pin,External pins and bus,1,140,159,pins.asc
PC,Program counter,1,503,429,program_counter.asc
Counter,Step counter,1,363,351,step_counter.asc
Scratch,Scratch pad ($16\times 4$-bit),11,1563,1230,scratchpad/Controls.asc;scratchpad/Bus1.asc;scratchpad/Bus2.asc;scratchpad/Pair 1.asc;scratchpad/Pair 2.asc;scratchpad/Pair 3.asc;scratchpad/Pair 4.asc;scratchpad/Pair 5.asc;scratchpad/Pair 6.asc;scratchpad/Pair 7.asc;scratchpad/Pair 8.asc
Stack,Subroutine stack (3-level),5,817,693,stack/Controls.asc;stack/Bus.asc;stack/Level 1.asc;stack/Level 2.asc;stack/Level 3.asc
TOTAL,Total,23,5537,4707,
